ao_hechos,mes_hechos,fecha_hechos,delito,categoria_delito,fiscalia,agencia,unidad_investigacion,alcaldia_hechos,colonia_hechos,ao_inicio,mes_inicio,fecha_inicio,calle_hechos,calle_hechos2,longitud,latitud,geopoint
2016,Diciembre,2016-12-09 14:40:00,ACOSO SEXUAL,DELITO DE BAJO IMPACTO,INVESTIGACIÓN PARA LA ATENCIÓN DE DELITOS SEXUALES,FDS-6,FDS-6-01,CUAUHTEMOC,CENTRO,2016,Diciembre,2016-12-12 15:21:49,ENRICO MARTINEZ,NA,-99.1505103306343,19.4288283446286,"19.4288283446,-99.1505103306"
2016,Diciembre,2016-12-12 04:30:00,ACOSO SEXUAL,DELITO DE BAJO IMPACTO,INVESTIGACIÓN PARA LA ATENCIÓN DE DELITOS SEXUALES,FDS-2,FDS-2-03,LA MAGDALENA CONTRERAS,SAN FRANCISCO,2016,Diciembre,2016-12-14 13:40:02,FRANCISCO SARABIA,NA,-99.2353765456352,19.3100107523663,"19.3100107524,-99.2353765456"
2016,Diciembre,2016-12-06 07:45:00,ACOSO SEXUAL,DELITO DE BAJO IMPACTO,INVESTIGACIÓN PARA LA ATENCIÓN DE DELITOS SEXUALES,FDS-5,FDS-5-01,IZTAPALAPA,LAS PEÑAS,2016,Diciembre,2016-12-15 16:10:58,BENITO MIRANDA,NA,-99.0524461099746,19.335225269861,"19.3352252699,-99.05244611"
2016,Octubre,2016-10-03 09:57:00,ACOSO SEXUAL,DELITO DE BAJO IMPACTO,INVESTIGACIÓN PARA LA ATENCIÓN DE DELITOS SEXUALES,FDS-6,FDS-6-03,COYOACAN,VILLA QUIETUD,2016,Octubre,2016-10-03 14:23:38,HACIENDA SANTA URSULA,NA,-99.1068144999999,19.300948299834,"19.3009482998,-99.1068145"
2016,Octubre,2016-10-03 15:00:00,ACOSO SEXUAL,DELITO DE BAJO IMPACTO,INVESTIGACIÓN PARA LA ATENCIÓN DE DELITOS SEXUALES,FDS-6,FDS-6-03,TLAHUAC,LA ASUNCION I,2016,Octubre,2016-10-03 19:25:50,AV.  TLAHUAC,NA,-99.0048587,19.2731141998342,"19.2731141998,-99.0048587"
2016,Octubre,2016-10-03 11:45:00,ACOSO SEXUAL,DELITO DE BAJO IMPACTO,INVESTIGACIÓN PARA LA ATENCIÓN DE DELITOS SEXUALES,FDS-6,FDS-6-03,CUAUHTEMOC,NONOALCO TLATELOLCO,2016,Octubre,2016-10-06 14:54:36,GUERRERO,NA,-99.1463998999999,19.4542879998331,"19.4542879998,-99.1463999"
2016,Octubre,2016-10-06 17:45:00,ACOSO SEXUAL,DELITO DE BAJO IMPACTO,INVESTIGACIÓN PARA LA ATENCIÓN DE DELITOS SEXUALES,FDS-6,FDS-6-03,GUSTAVO A MADERO,MAGDALENA DE LAS SALINAS,2016,Octubre,2016-10-06 20:34:26,COLECTOR 13,NA,-99.1331949708322,19.4874580213976,"19.4874580214,-99.1331949708"
2016,Septiembre,2016-09-14 09:00:00,ACOSO SEXUAL,DELITO DE BAJO IMPACTO,INVESTIGACIÓN PARA LA ATENCIÓN DE DELITOS SEXUALES,FDS-5,FDS-5-01,IZTAPALAPA,LOMAS DE ZARAGOZA,2016,Octubre,2016-10-07 14:40:24,TERCERA CERRADA DE BENITO JUAREZ,NA,-99.0004554,19.3531373998338,"19.3531373998,-99.0004554"
2016,Febrero,2016-02-16 13:00:00,ACOSO SEXUAL,DELITO DE BAJO IMPACTO,INVESTIGACIÓN PARA LA ATENCIÓN DE DELITOS SEXUALES,FDS-2,FDS-2-03,COYOACAN,AMPLIACION DEL CARMEN,2016,Octubre,2016-10-12 13:06:45,AV.  MEXICO,Y CALLE 13,-99.1687206649635,19.35622387311,"19.3562238731,-99.168720665"
2016,Agosto,2016-08-07 19:16:00,ACOSO SEXUAL,DELITO DE BAJO IMPACTO,INVESTIGACIÓN PARA LA ATENCIÓN DE DELITOS SEXUALES,FDS-1,FDS-1-03,CUAUHTEMOC,EX-HIPÓDROMO DE PERALVILLO,2016,Octubre,2016-10-12 14:34:26,AV. MANUEL GONZALEZ,NA,-99.140360885305,19.4552245530412,"19.455224553,-99.1403608853"
2016,Junio,2016-06-07 15:00:00,ACOSO SEXUAL,DELITO DE BAJO IMPACTO,INVESTIGACIÓN PARA LA ATENCIÓN DE DELITOS SEXUALES,FDS-5,FDS-5-01,IZTAPALAPA,MEXICALTZINGO,2016,Octubre,2016-10-16 13:44:48,AV. ERMITA IZTAPALAPA NUMERO 470,NA,-99.1205134,19.3578289998333,"19.3578289998,-99.1205134"
2016,Septiembre,2016-09-01 08:00:00,ACOSO SEXUAL,DELITO DE BAJO IMPACTO,INVESTIGACIÓN DE LOS DELITOS COMETIDOS POR SERVIDORES PUBLICOS,B,UI-1CD,TLALPAN,MIGUEL HIDALGO 2A SECCIÓN,2016,Septiembre,2016-09-01 22:12:30,CALLE MATAMOROS,BENITO JUAREZ (SIN REGISTRO DEL SAP),-99.1927370825839,19.2831543612615,"19.2831543613,-99.1927370826"
2016,Septiembre,2016-09-01 17:30:00,ACOSO SEXUAL,DELITO DE BAJO IMPACTO,INVESTIGACIÓN PARA LA ATENCIÓN DE DELITOS SEXUALES,FDS-2,FDS-2-01,TLALPAN,SAN PEDRO MÁRTIR,2016,Septiembre,2016-09-01 23:49:49,CARRETERA FEDERAL A CUERNAVACA,NA,-99.1735931153812,19.2589977777879,"19.2589977778,-99.1735931154"
2016,Julio,2016-07-31 18:00:00,ACOSO SEXUAL,DELITO DE BAJO IMPACTO,INVESTIGACIÓN PARA LA ATENCIÓN DE DELITOS SEXUALES,FDS-6,FDS-6-02,BENITO JUAREZ,DEL VALLE CENTRO,2016,Septiembre,2016-09-02 16:31:53,GABRIEL MANCERA,NA,-99.1625863593734,19.3929529008592,"19.3929529009,-99.1625863594"
2016,Agosto,2016-08-31 23:00:00,ACOSO SEXUAL,DELITO DE BAJO IMPACTO,INVESTIGACIÓN PARA LA ATENCIÓN DE DELITOS SEXUALES,FDS-6,FDS-6-02,CUAUHTEMOC,OBRERA,2016,Septiembre,2016-09-02 17:34:18,CHIMALPOPOCA,AV. SAN ANTONIO ABAD,-99.1336569,19.4221980998334,"19.4221980998,-99.1336569"
2015,Noviembre,2015-11-17 13:00:00,ACOSO SEXUAL,DELITO DE BAJO IMPACTO,INVESTIGACIÓN PARA LA ATENCIÓN DE DELITOS SEXUALES,FDS-1,FDS-1-01,CUAUHTEMOC,JUÁREZ,2016,Septiembre,2016-09-07 12:09:30,"LONDRES, NO. 127",NA,-99.164338444323,19.4253152373789,"19.4253152374,-99.1643384443"
2016,Septiembre,2016-09-17 12:45:00,ACOSO SEXUAL,DELITO DE BAJO IMPACTO,INVESTIGACIÓN EN COYOACÁN,COY-2,UI-2CD,COYOACAN,PARQUE SAN ANDRÉS,2016,Septiembre,2016-09-17 16:44:31,CALZADA DE TLALPAN,NA,-99.144869459247,19.3459623459061,"19.3459623459,-99.1448694592"
2016,Octubre,2016-10-17 10:30:00,ACOSO SEXUAL,DELITO DE BAJO IMPACTO,INVESTIGACIÓN PARA LA ATENCIÓN DE DELITOS SEXUALES,FDS-2,FDS-2-03,COYOACAN,NA,2016,Octubre,2016-10-18 16:03:38,CALZADA DE TLALPAN,NA,NA,NA,
2016,Octubre,2016-10-15 18:30:00,ACOSO SEXUAL,DELITO DE BAJO IMPACTO,INVESTIGACIÓN PARA LA ATENCIÓN DE DELITOS SEXUALES,FDS-6,FDS-6-03,GUSTAVO A MADERO,AMPLIACIÓN CASAS ALEMÁN,2016,Octubre,2016-10-18 17:55:21,PUERTO ACAPULCO,NA,-99.0840712150883,19.4778571264366,"19.4778571264,-99.0840712151"
2016,Octubre,2016-10-19 10:00:00,ACOSO SEXUAL,DELITO DE BAJO IMPACTO,INVESTIGACIÓN PARA LA ATENCIÓN DE DELITOS SEXUALES,FDS-6,FDS-6-02,CUAUHTEMOC,ROMA NORTE,2016,Octubre,2016-10-20 19:02:30,AVENIDA ALVARO OBREGON,ESQUINA VALLADODID,-99.167032045745,19.4167524935116,"19.4167524935,-99.1670320457"
2016,Agosto,2016-08-22 09:50:00,ACOSO SEXUAL,DELITO DE BAJO IMPACTO,INVESTIGACIÓN EN GUSTAVO A. MADERO,GAM-2,UI-3CD,ECATEPEC DE MORELOS,NA,2016,Octubre,2016-10-21 21:37:23,AVENIDA DE LOS TRABAJADORES ECATEPEC EDO. DE MEXICO,RAFAEL VALDOBINOS,NA,NA,
2016,Octubre,2016-10-18 16:00:00,ACOSO SEXUAL,DELITO DE BAJO IMPACTO,INVESTIGACIÓN DE LOS DELITOS COMETIDOS POR SERVIDORES PUBLICOS,B,UI-3CD,CUAUHTEMOC,CENTRO,2016,Octubre,2016-10-27 11:55:29,REPUBLICA DE CHILE,NA,-99.1355966878275,19.4379785739522,"19.437978574,-99.1355966878"
2016,Octubre,2016-10-27 17:30:00,ACOSO SEXUAL,DELITO DE BAJO IMPACTO,INVESTIGACIÓN EN TLALPAN,TLP-4,UI-2CD,LA MAGDALENA CONTRERAS,NA,2016,Octubre,2016-10-29 14:12:27,FORTIN,NA,-99.2403748115833,19.306197029234,"19.3061970292,-99.2403748116"
2016,Febrero,2016-02-01 08:00:00,ACOSO SEXUAL,DELITO DE BAJO IMPACTO,INVESTIGACIÓN PARA LA ATENCIÓN DE DELITOS SEXUALES,FDS-6,FDS-6-02,AZCAPOTZALCO,INDUSTRIAL VALLEJO,2016,Septiembre,2016-09-20 11:05:36,AVENIDA PONIENTE 116 NUMERO 589,NA,-99.1649890999999,19.4936932998334,"19.4936932998,-99.1649891"
2016,Marzo,2016-03-16 12:35:00,ACOSO SEXUAL,DELITO DE BAJO IMPACTO,INVESTIGACIÓN PARA LA ATENCIÓN DE DELITOS SEXUALES,FDS-2,FDS-2-03,COYOACAN,NA,2016,Septiembre,2016-09-21 20:24:40,SIN CALLES DEL SAP,NA,NA,NA,
2016,Mayo,2016-05-16 05:00:00,ACOSO SEXUAL,DELITO DE BAJO IMPACTO,INVESTIGACIÓN PARA LA ATENCIÓN DE DELITOS SEXUALES,FDS-3,FDS-3-01,BENITO JUAREZ,NARVARTE,2016,Septiembre,2016-09-22 14:51:16,DR VERTIZ,NA,-99.1523166533033,19.3852022787493,"19.3852022787,-99.1523166533"
2015,Junio,2015-06-01 11:00:00,ACOSO SEXUAL,DELITO DE BAJO IMPACTO,INVESTIGACIÓN PARA LA ATENCIÓN DE DELITOS SEXUALES,FDS-6,FDS-6-03,BENITO JUAREZ,MIXCOAC,2016,Septiembre,2016-09-30 12:28:04,AVENIDA REVOLUCION,NA,-99.187900397111,19.3745116420032,"19.374511642,-99.1879003971"
2016,Noviembre,2016-11-22 06:20:00,ACOSO SEXUAL,DELITO DE BAJO IMPACTO,INVESTIGACIÓN PARA LA ATENCIÓN DE DELITOS SEXUALES,FDS-6,FDS-6-02,COYOACAN,SAN FRANCISCO CULHUACAN,2016,Noviembre,2016-11-22 16:19:17,SANTA ANA,NA,-99.1217503999999,19.3275632998334,"19.3275632998,-99.1217504"
2016,Abril,2016-04-20 08:00:00,ACOSO SEXUAL,DELITO DE BAJO IMPACTO,INVESTIGACIÓN PARA LA ATENCIÓN DE DELITOS SEXUALES,FDS-6,FDS-6-03,MIGUEL HIDALGO,ESCANDÓN I SECCIÓN,2016,Noviembre,2016-11-23 21:42:34,PROSPERIDAD,12 DE OCTUBRE,-99.1763091388567,19.3993762353197,"19.3993762353,-99.1763091389"
2016,Noviembre,2016-11-06 16:32:00,ACOSO SEXUAL,DELITO DE BAJO IMPACTO,INVESTIGACIÓN PARA LA ATENCIÓN DE DELITOS SEXUALES,FDS-6,FDS-6-02,CUAUHTEMOC,NA,2016,Noviembre,2016-11-25 16:36:26,VIA INTERNET,NA,NA,NA,
2016,Noviembre,2016-11-27 12:00:00,ACOSO SEXUAL,DELITO DE BAJO IMPACTO,INVESTIGACIÓN PARA LA ATENCIÓN DE DELITOS SEXUALES,FDS-6,FDS-6-03,IZTACALCO,JUVENTINO ROSAS,2016,Noviembre,2016-11-29 14:36:31,ORIENTE 114,NA,-99.1141261944678,19.3917073553107,"19.3917073553,-99.1141261945"
2016,Agosto,2016-08-09 10:00:00,ACOSO SEXUAL,DELITO DE BAJO IMPACTO,INVESTIGACIÓN PARA LA ATENCIÓN DE DELITOS SEXUALES,FDS-5,FDS-5-03,IZTAPALAPA,TEPALCATES,2016,Agosto,2016-08-19 17:35:19,GRAL.  ANTONIO  LEON LOYOLA,CALZ. IGNACIO ZARAGOZA,-99.0479433,19.3916456998333,"19.3916456998,-99.0479433"
2016,Agosto,2016-08-22 16:23:00,ACOSO SEXUAL,DELITO DE BAJO IMPACTO,INVESTIGACIÓN PARA LA ATENCIÓN DE DELITOS SEXUALES,FDS-5,FDS-5-03,XOCHIMILCO,SANTA CRUZ ACALPIXCA - PUEBLO,2016,Agosto,2016-08-22 16:15:12,CEDROS,NA,-99.0773419999999,19.2509886998336,"19.2509886998,-99.077342"
2016,Mayo,2016-05-20 14:00:00,ACOSO SEXUAL,DELITO DE BAJO IMPACTO,INVESTIGACIÓN PARA LA ATENCIÓN DE DELITOS SEXUALES,FDS-6,FDS-6-01,CUAUHTEMOC,DOCTORES,2016,Agosto,2016-08-23 18:33:26,DR. BALMIS,NA,-99.152580960826,19.4149344676363,"19.4149344676,-99.1525809608"
2016,Agosto,2016-08-24 21:00:00,ACOSO SEXUAL,DELITO DE BAJO IMPACTO,INVESTIGACIÓN PARA LA ATENCIÓN DE DELITOS SEXUALES,FDS-3,FDS-3-03,VENUSTIANO CARRANZA,MERCED BALBUENA,2016,Agosto,2016-08-25 15:42:49,CUITLAHUAC,NA,-99.1258048383304,19.4212274290465,"19.421227429,-99.1258048383"
2017,Enero,2017-01-02 11:40:00,ACOSO SEXUAL,DELITO DE BAJO IMPACTO,INVESTIGACIÓN PARA LA ATENCIÓN DE DELITOS SEXUALES,FDS-5,FDS-5-01,IZTAPALAPA,TENORIOS,2017,Enero,2017-01-02 19:55:35,SIN CALLES DEL SAP,NA,-99.0210472200963,19.3298646306454,"19.3298646306,-99.0210472201"
2016,Noviembre,2016-11-16 03:30:00,ACOSO SEXUAL,DELITO DE BAJO IMPACTO,INVESTIGACIÓN PARA LA ATENCIÓN DE DELITOS SEXUALES,FDS-6,FDS-6-01,BENITO JUAREZ,ACTIPAN,2017,Enero,2017-01-11 15:47:55,RIO MIXCOAC,RODRIGUEZ SARO,-99.1789539067069,19.3661996909512,"19.366199691,-99.1789539067"
2016,Noviembre,2016-11-27 15:00:00,ACOSO SEXUAL,DELITO DE BAJO IMPACTO,INVESTIGACIÓN EN XOCHIMILCO,XO-1,UI-2SD,COYOACAN,CAMPESTRE COYOACÁN,2017,Enero,2017-01-12 22:21:33,CALZADA DEL HUESO,TENORIOS,-99.1219372821203,19.3031674333479,"19.3031674333,-99.1219372821"
2016,Octubre,2016-10-04 10:00:00,ACOSO SEXUAL,DELITO DE BAJO IMPACTO,INVESTIGACIÓN PARA LA ATENCIÓN DE DELITOS SEXUALES,FDS-3,FDS-3-03,CUAUHTEMOC,ATLAMPA,2017,Enero,2017-01-13 10:30:18,AVENIDA FLORES MAGON NUMERO 459,NA,-99.1603333717067,19.4552998257068,"19.4552998257,-99.1603333717"
2017,Enero,2017-01-16 09:10:00,ACOSO SEXUAL,DELITO DE BAJO IMPACTO,INVESTIGACIÓN PARA LA ATENCIÓN DE DELITOS SEXUALES,FDS-3,FDS-3-03,VENUSTIANO CARRANZA,ADOLFO LÓPEZ MATEOS,2017,Enero,2017-01-16 13:11:22,FERNANDO LOPEZ ARIAS,NA,-99.0720722455351,19.4236918251818,"19.4236918252,-99.0720722455"
2017,Abril,2017-04-04 12:30:00,ACOSO SEXUAL,DELITO DE BAJO IMPACTO,INVESTIGACIÓN PARA LA ATENCIÓN DE DELITOS SEXUALES,FDS-2,FDS-2-03,ALVARO OBREGON,MINA LOS COYOTES,2017,Abril,2017-04-10 10:55:37,AVENIDA CENTENARIO,NA,-99.2259009316577,19.3616405839436,"19.3616405839,-99.2259009317"
2017,Febrero,2017-02-06 14:30:00,ACOSO SEXUAL,DELITO DE BAJO IMPACTO,INVESTIGACIÓN PARA LA ATENCIÓN DE DELITOS SEXUALES,FDS-3,FDS-3-03,IZTACALCO,SANTA ANITA,2017,Febrero,2017-02-06 15:56:09,CONGRESO DE LA UNIÓN,VIADUCTO PIEDAD,-99.1222215624397,19.4046683293092,"19.4046683293,-99.1222215624"
2015,Julio,2015-07-16 11:00:00,ACOSO SEXUAL,DELITO DE BAJO IMPACTO,INVESTIGACIÓN PARA LA ATENCIÓN DE DELITOS SEXUALES,FDS-6,FDS-6-03,XOCHIMILCO,SAN ANDRÉS AHUAYUCAN,2017,Febrero,2017-02-09 23:53:49,AVENIDA SAN PABLO,NA,-99.1113903903434,19.222495726739,"19.2224957267,-99.1113903903"
2015,Mayo,2015-05-28 12:00:00,ACOSO SEXUAL,DELITO DE BAJO IMPACTO,"INVESTIGACIÓN PARA LA ATENCIÓN DE NIÑOS, NIÑAS Y ADOLESCENTES",59,UI-2CD,XOCHIMILCO,RANCHO TEJOMULCO,2017,Febrero,2017-02-14 16:26:21,ACUEDUCTO,NA,-99.087010584786,19.2462290646217,"19.2462290646,-99.0870105848"
2017,Marzo,2017-03-03 10:00:00,ACOSO SEXUAL,DELITO DE BAJO IMPACTO,INVESTIGACIÓN PARA LA ATENCIÓN DE DELITOS SEXUALES,FDS-5,FDS-5-01,IZTAPALAPA,EL SANTUARIO,2017,Marzo,2017-03-06 09:49:41,CALLEJON DE LA MANZANA NUMERO 6,NA,-99.0923461512485,19.3530111626806,"19.3530111627,-99.0923461512"
2017,Marzo,2017-03-07 21:00:00,ACOSO SEXUAL,DELITO DE BAJO IMPACTO,INVESTIGACIÓN PARA LA ATENCIÓN DE DELITOS SEXUALES,FDS-3,FDS-3-03,IZTACALCO,AGRÍCOLA PANTITLAN,2017,Marzo,2017-03-08 13:10:05,TRES NUMERO,CERRADA LAS MERCEDES,-99.0664188426231,19.4065615102479,"19.4065615102,-99.0664188426"
2017,Febrero,2017-02-13 13:30:00,ACOSO SEXUAL,DELITO DE BAJO IMPACTO,INVESTIGACIÓN EN COYOACÁN,COY-5,UI-3SD,COYOACAN,NA,2017,Marzo,2017-03-08 13:15:54,CANAL NACIONAL 240 FRACCION II EDIFICIO 15,CALZADA DE LA VIRGEN,-99.1054986150556,19.3222191254055,"19.3222191254,-99.1054986151"
2017,Febrero,2017-02-12 21:00:00,ACOSO SEXUAL,DELITO DE BAJO IMPACTO,"INVESTIGACIÓN PARA LA ATENCIÓN DE NIÑOS, NIÑAS Y ADOLESCENTES",59,UI-2CD,GUSTAVO A MADERO,HÉROES DE CERRO PRIETO,2017,Marzo,2017-03-16 14:53:41,SOLES,NA,-99.0976602772471,19.4544893405538,"19.4544893406,-99.0976602772"
2017,Marzo,2017-03-19 22:00:00,ACOSO SEXUAL,DELITO DE BAJO IMPACTO,INVESTIGACIÓN PARA LA ATENCIÓN DE DELITOS SEXUALES,FDS-6,FDS-6-03,CUAUHTEMOC,NA,2017,Marzo,2017-03-20 14:09:03,SIN PRECISAR,SIN PRECISAR,NA,NA,
2017,Marzo,2017-03-26 08:30:00,ACOSO SEXUAL,DELITO DE BAJO IMPACTO,INVESTIGACIÓN PARA LA ATENCIÓN DE DELITOS SEXUALES,FDS-6,FDS-6-03,IZTAPALAPA,UNIDAD MODELO,2017,Marzo,2017-03-26 11:03:24,RET. 110,RIO CHURUBUSCO,-99.1250892041332,19.3664598429022,"19.3664598429,-99.1250892041"
2017,Marzo,2017-03-27 15:00:00,ACOSO SEXUAL,DELITO DE BAJO IMPACTO,INVESTIGACIÓN EN TLAHUAC,TLH-1,UI-1SD,TLAHUAC,MIGUEL HIDALGO,2017,Marzo,2017-03-30 14:33:54,MUZIO CLEMENTI,DON PASCUALE,-99.0481260112934,19.2944845480371,"19.294484548,-99.0481260113"
2016,Julio,2016-07-28 00:30:00,ACOSO SEXUAL,DELITO DE BAJO IMPACTO,INVESTIGACIÓN PARA LA ATENCIÓN DE DELITOS SEXUALES,FDS-6,FDS-6-03,IZTAPALAPA,LOMAS ESTRELLA 2A SECCION,2017,Enero,2017-01-22 14:05:27,CIRACUSA,NA,-99.0937033943572,19.317295333395,"19.3172953334,-99.0937033944"
2017,Enero,2017-01-23 14:29:00,ACOSO SEXUAL,DELITO DE BAJO IMPACTO,INVESTIGACIÓN PARA LA ATENCIÓN DE DELITOS SEXUALES,FDS-2,FDS-2-01,ALVARO OBREGON,TOLTECA,2017,Enero,2017-01-23 22:10:10,CALLE 10,NA,-99.193862138223,19.389927070188,"19.3899270702,-99.1938621382"
2017,Enero,2017-01-23 06:25:00,ACOSO SEXUAL,DELITO DE BAJO IMPACTO,INVESTIGACIÓN PARA LA ATENCIÓN DE DELITOS SEXUALES,FDS-6,FDS-6-02,TLALPAN,PEDREGAL DE SAN NICOLÁS 2A SECCIÓN,2017,Enero,2017-01-24 12:16:32,CANSAHCAB,NA,-99.231176579525,19.2877673175711,"19.2877673176,-99.2311765795"
2017,Abril,2017-04-19 02:00:00,ACOSO SEXUAL,DELITO DE BAJO IMPACTO,INVESTIGACIÓN EN COYOACÁN,COY-4,UI-2CD,COYOACAN,PEDREGAL DE SANTA URSULA,2017,Abril,2017-04-27 14:54:23,SAN ALEJANDRO,NA,-99.1562730928643,19.3065599650896,"19.3065599651,-99.1562730929"
2017,Abril,2017-04-28 08:30:00,ACOSO SEXUAL,DELITO DE BAJO IMPACTO,INVESTIGACIÓN EN TLAHUAC,TLH-2,UI-1SD,TLAHUAC,OJO DE AGUA,2017,Abril,2017-04-28 16:05:33,FELIPE ANGELES,NA,-99.0115541534524,19.2904784434755,"19.2904784435,-99.0115541535"
2016,Diciembre,2016-12-12 00:00:00,ACOSO SEXUAL,DELITO DE BAJO IMPACTO,INVESTIGACIÓN PARA LA ATENCIÓN DE DELITOS SEXUALES,FDS-2,FDS-2-03,TLALPAN,POPULAR SANTA TERESA,2016,Diciembre,2016-12-29 10:59:44,DOMICILIO PARTICULAR QUE OBRA EN GENERALES,CALLE HOPELCHEN,-99.2245375794368,19.3007908393396,"19.3007908393,-99.2245375794"
2016,Diciembre,2016-12-24 18:30:00,ACOSO SEXUAL,DELITO DE BAJO IMPACTO,INVESTIGACIÓN PARA LA ATENCIÓN DE DELITOS SEXUALES,FDS-6,FDS-6-02,MIGUEL HIDALGO,TACUBA,2017,Febrero,2017-02-20 15:18:26,CALZ. MEXICO TACUBA,NA,-99.1859759069452,19.4588348204272,"19.4588348204,-99.1859759069"
2017,Febrero,2017-02-11 12:00:00,ACOSO SEXUAL,DELITO DE BAJO IMPACTO,INVESTIGACIÓN PARA LA ATENCIÓN DE DELITOS SEXUALES,FDS-3,FDS-3-01,COYOACAN,CHURUBUSCO COUNTRY CLUB,2017,Febrero,2017-02-22 10:10:05,NA,PRIVADA BENITO JUAREZ,-99.1417416721783,19.3518515557255,"19.3518515557,-99.1417416722"
2017,Febrero,2017-02-23 19:37:00,ACOSO SEXUAL,DELITO DE BAJO IMPACTO,INVESTIGACIÓN PARA LA ATENCIÓN DE DELITOS SEXUALES,FDS-6,FDS-6-02,CUAUHTEMOC,NA,2017,Febrero,2017-02-26 11:22:28,NO ESPECIFICA EL LUGAR DE LOS HECHOS,NA,NA,NA,
